InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV000050,SC2585,Scented Candle,7,2023-01-04 13:37:47.733546,111.35,C00305,Belgium
INV000051,SC4943,Vintage Mug,42,2023-01-04 15:22:38.911782,130.8,C00339,Germany
INV000052,SC8555,Metal Lantern,4,2023-01-04 17:07:30.090018,95.65,C00017,United Kingdom
INV000053,SC4073,Cotton Bag,5,2023-01-04 18:52:21.268253,126.78,C00054,Australia
INV000054,SC2021,Ceramic Bowl,5,2023-01-04 20:37:12.446489,40.28,C00112,Germany
INV000055,SC4843,Scented Candle,11,2023-01-04 22:22:03.624724,16.01,C00172,Australia
INV000056,SC8989,Metal Lantern,41,2023-01-05 00:06:54.802960,92.97,C00305,Germany
INV000057,SC7873,Vintage Mug,28,2023-01-05 01:51:45.981196,66.05,C00144,United Kingdom
INV000058,SC6675,Throw Pillow,16,2023-01-05 03:36:37.159431,64.83,C00085,Germany
INV000059,SC1161,Cotton Bag,41,2023-01-05 05:21:28.337667,79.72,C00012,Netherlands
INV000060,SC5297,Wall Clock,30,2023-01-05 07:06:19.515903,55.17,C00252,USA
INV000061,SC1995,Metal Lantern,4,2023-01-05 08:51:10.694138,94.47,C00216,France
INV000062,SC8629,Wall Clock,2,2023-01-05 10:36:01.872374,6.04,C00126,United Kingdom
INV000063,SC2016,Wooden Frame,46,2023-01-05 12:20:53.050610,145.53,C00098,Germany
INV000064,SC8869,Ceramic Bowl,3,2023-01-05 14:05:44.228845,138.82,C00392,Spain
INV000065,SC7439,Metal Lantern,21,2023-01-05 15:50:35.407081,140.39,C00304,Germany
INV000066,SC8892,Bamboo Tray,6,2023-01-05 17:35:26.585317,55.7,C00392,Netherlands
INV000067,SC7863,Vintage Mug,43,2023-01-05 19:20:17.763552,80.49,C00028,France
INV000068,SC8916,Scented Candle,18,2023-01-05 21:05:08.941788,143.19,C00336,United Kingdom
INV000069,SC9529,Bamboo Tray,44,2023-01-05 22:50:00.120024,135.5,C00266,USA
INV000070,SC1878,Wooden Frame,5,2023-01-06 00:34:51.298259,118.85,C00052,United Kingdom
INV000071,SC5887,Ceramic Bowl,9,2023-01-06 02:19:42.476495,61.99,C00143,France
INV000072,SC5859,Throw Pillow,20,2023-01-06 04:04:33.654730,85.3,C00132,United Kingdom
INV000073,SC7331,Cotton Bag,28,2023-01-06 05:49:24.832966,119.25,C00346,United Kingdom
INV000074,SC9571,Wall Clock,26,2023-01-06 07:34:16.011202,42.04,C00207,France
INV000075,SC9684,Wooden Frame,18,2023-01-06 09:19:07.189437,94.53,C00062,France
INV000076,SC8208,Scented Candle,19,2023-01-06 11:03:58.367673,124.45,C00363,Netherlands
INV000077,SC6276,Cotton Bag,3,2023-01-06 12:48:49.545909,106.56,C00132,Spain
INV000078,SC3062,Throw Pillow,9,2023-01-06 14:33:40.724144,72.7,C00041,Spain
INV000079,SC1064,Scented Candle,36,2023-01-06 16:18:31.902380,88.31,C00201,Germany
INV000080,SC9006,Vintage Mug,31,2023-01-06 18:03:23.080616,148.32,C00099,Australia
INV000081,SC3568,Wall Clock,49,2023-01-06 19:48:14.258851,90.9,C00311,Australia
INV000082,SC6463,Bamboo Tray,17,2023-01-06 21:33:05.437087,118.16,C00284,Germany
INV000083,SC3027,Metal Lantern,23,2023-01-06 23:17:56.615323,109.4,C00357,Australia
INV000084,SC3695,Wooden Frame,34,2023-01-07 01:02:47.793558,105.67,C00047,Sweden
INV000085,SC6258,Metal Lantern,41,2023-01-07 02:47:38.971794,107.88,C00137,United Kingdom
INV000086,SC6618,Cotton Bag,41,2023-01-07 04:32:30.150030,68.98,C00130,Belgium
INV000087,SC7736,Metal Lantern,5,2023-01-07 06:17:21.328265,71.91,C00195,United Kingdom
INV000088,SC1391,Bamboo Tray,15,2023-01-07 08:02:12.506501,70.98,C00117,United Kingdom
INV000089,SC6892,Glass Vase,47,2023-01-07 09:47:03.684736,6.44,C00364,United Kingdom
INV000090,SC4561,Cotton Bag,3,2023-01-07 11:31:54.862972,37.3,C00069,Australia
INV000091,SC7184,Wall Clock,19,2023-01-07 13:16:46.041208,24.45,C00028,United Kingdom
INV000092,SC4099,Scented Candle,28,2023-01-07 15:01:37.219443,133.14,C00335,Belgium
INV000093,SC7278,Wall Clock,3,2023-01-07 16:46:28.397679,42.33,,USA
INV000094,SC9392,Metal Lantern,38,2023-01-07 18:31:19.575915,22.06,C00046,Netherlands
INV000095,SC4104,Ceramic Bowl,4,2023-01-07 20:16:10.754150,19.29,C00397,Germany
INV000096,SC8215,Cotton Bag,24,2023-01-07 22:01:01.932386,105.45,C00016,Sweden
INV000097,SC3454,Scented Candle,31,2023-01-07 23:45:53.110622,2.4,C00209,USA
INV000098,SC9996,Throw Pillow,45,2023-01-08 01:30:44.288857,71.49,C00158,France
INV000099,SC3731,Vintage Mug,45,2023-01-08 03:15:35.467093,19.15,C00337,Netherlands
INV000100,SC9154,Wall Clock,11,2023-01-08 05:00:26.645329,127.68,C00227,France
INV000101,SC6056,Wall Clock,37,2023-01-08 06:45:17.823564,143.83,C00241,Australia
INV000102,SC9110,Cotton Bag,1,2023-01-08 08:30:09.001800,143.88,C00058,United Kingdom
INV000103,SC4840,Ceramic Bowl,9,2023-01-08 10:15:00.180036,67.13,C00304,Germany
INV000104,SC2028,Metal Lantern,17,2023-01-08 11:59:51.358271,97.21,C00305,United Kingdom
INV000105,SC8385,Metal Lantern,1,2023-01-08 13:44:42.536507,90.56,C00345,Germany
INV000106,SC1502,Cotton Bag,3,2023-01-08 15:29:33.714742,53.48,C00130,Netherlands
INV000107,SC7910,Wall Clock,47,2023-01-08 17:14:24.892978,67.44,C00217,Sweden
INV000108,SC7938,Scented Candle,26,2023-01-08 18:59:16.071214,11.05,C00014,Japan
INV000109,SC5488,Vintage Mug,31,2023-01-08 20:44:07.249449,119.66,C00359,France
INV000110,SC1206,Cotton Bag,26,2023-01-08 22:28:58.427685,37.26,,Australia
INV000111,SC6134,Scented Candle,23,2023-01-09 00:13:49.605921,69.89,C00243,United Kingdom
INV000112,SC6977,Scented Candle,30,2023-01-09 01:58:40.784156,72.87,C00145,Netherlands
INV000113,SC8721,Throw Pillow,10,2023-01-09 03:43:31.962392,84.77,C00379,United Kingdom
INV000114,SC8035,Bamboo Tray,8,2023-01-09 05:28:23.140628,122.95,,United Kingdom
INV000115,SC2484,Glass Vase,44,2023-01-09 07:13:14.318863,104.24,C00326,Netherlands
INV000116,SC8858,Vintage Mug,25,2023-01-09 08:58:05.497099,99.96,C00103,United Kingdom
INV000117,SC1863,Wooden Frame,22,2023-01-09 10:42:56.675335,79.72,C00217,United Kingdom
INV000118,SC3790,Ceramic Bowl,15,2023-01-09 12:27:47.853570,15.75,C00358,USA
INV000119,SC8408,Glass Vase,41,2023-01-09 14:12:39.031806,61.2,C00064,United Kingdom
INV000120,SC9755,Throw Pillow,10,2023-01-09 15:57:30.210042,143.66,C00158,United Kingdom
INV000121,SC6116,Vintage Mug,20,2023-01-09 17:42:21.388277,149.34,C00162,United Kingdom
INV000122,SC7019,Metal Lantern,41,2023-01-09 19:27:12.566513,109.98,C00018,United Kingdom
INV000123,SC2757,Glass Vase,47,2023-01-09 21:12:03.744748,35.29,,United Kingdom
INV000124,SC8574,Metal Lantern,23,2023-01-09 22:56:54.922984,16.63,C00319,Spain
INV000125,SC7374,Ceramic Bowl,1,2023-01-10 00:41:46.101220,63.09,C00049,United Kingdom
INV000126,SC7892,Metal Lantern,2,2023-01-10 02:26:37.279455,128.7,C00056,USA
INV000127,SC2678,Ceramic Bowl,19,2023-01-10 04:11:28.457691,108.7,C00347,United Kingdom
INV000128,SC4242,Vintage Mug,14,2023-01-10 05:56:19.635927,132.76,C00058,France
INV000129,SC5636,Wall Clock,8,2023-01-10 07:41:10.814162,92.94,C00155,Netherlands
INV000130,SC2059,Ceramic Bowl,38,2023-01-10 09:26:01.992398,20.85,C00055,Netherlands
INV000131,SC7668,Scented Candle,12,2023-01-10 11:10:53.170634,18.55,C00341,Australia
INV000132,SC4157,Wooden Frame,26,2023-01-10 12:55:44.348869,8.63,C00019,Sweden
INV000133,SC6915,Wooden Frame,27,2023-01-10 14:40:35.527105,85.71,C00151,United Kingdom
INV000134,SC3693,Cotton Bag,29,2023-01-10 16:25:26.705341,37.57,C00359,France
INV000135,SC4627,Wooden Frame,15,2023-01-10 18:10:17.883576,110.56,C00368,Belgium
INV000136,SC6450,Cotton Bag,46,2023-01-10 19:55:09.061812,103.41,C00108,United Kingdom
INV000137,SC2663,Wooden Frame,1,2023-01-10 21:40:00.240048,48.74,C00047,United Kingdom
INV000138,SC6592,Ceramic Bowl,43,2023-01-10 23:24:51.418283,27.76,C00207,United Kingdom
INV000139,SC8392,Scented Candle,28,2023-01-11 01:09:42.596519,16.71,C00363,Australia
INV000140,SC2306,Wall Clock,3,2023-01-11 02:54:33.774754,110.99,C00340,United Kingdom
INV000141,SC7776,Metal Lantern,18,2023-01-11 04:39:24.952990,68.39,C00128,United Kingdom
INV000142,SC6864,Throw Pillow,34,2023-01-11 06:24:16.131226,49.54,C00185,Germany
INV000143,SC8526,Wooden Frame,32,2023-01-11 08:09:07.309461,128.71,C00058,Australia
INV000144,SC9901,Wall Clock,29,2023-01-11 09:53:58.487697,89.65,C00143,United Kingdom
INV000145,SC6575,Wall Clock,25,2023-01-11 11:38:49.665933,78.42,C00400,United Kingdom
INV000146,SC6530,Ceramic Bowl,26,2023-01-11 13:23:40.844168,111.89,C00097,Australia
INV000147,SC5413,Vintage Mug,39,2023-01-11 15:08:32.022404,122.61,C00047,Sweden
INV000148,SC4748,Vintage Mug,8,2023-01-11 16:53:23.200640,103.38,C00191,Netherlands
INV000149,SC1663,Wooden Frame,19,2023-01-11 18:38:14.378875,66.84,C00140,Spain
INV000150,SC2998,Throw Pillow,47,2023-01-11 20:23:05.557111,57.83,C00103,Germany
INV000151,SC8994,Wooden Frame,42,2023-01-11 22:07:56.735347,116.09,C00231,United Kingdom
INV000152,SC2495,Wooden Frame,22,2023-01-11 23:52:47.913582,78.41,C00340,Germany
INV000153,SC4304,Cotton Bag,29,2023-01-12 01:37:39.091818,106.1,C00049,USA
INV000154,SC4763,Scented Candle,33,2023-01-12 03:22:30.270054,133.72,C00387,Germany
INV000155,SC6232,Scented Candle,38,2023-01-12 05:07:21.448289,137.51,C00112,USA
INV000156,SC2853,Throw Pillow,45,2023-01-12 06:52:12.626525,42.74,C00316,Japan
INV000157,SC7585,Cotton Bag,46,2023-01-12 08:37:03.804760,29.4,C00322,United Kingdom
INV000158,SC2291,Wall Clock,35,2023-01-12 10:21:54.982996,40.3,C00087,United Kingdom
INV000159,SC4581,Cotton Bag,43,2023-01-12 12:06:46.161232,113.08,C00382,United Kingdom
INV000160,SC8554,Wooden Frame,3,2023-01-12 13:51:37.339467,56.45,C00282,Germany
INV000161,SC8280,Vintage Mug,19,2023-01-12 15:36:28.517703,27.25,C00327,United Kingdom
INV000162,SC2636,Glass Vase,10,2023-01-12 17:21:19.695939,16.11,C00252,Belgium
INV000163,SC4696,Throw Pillow,27,2023-01-12 19:06:10.874174,50.11,C00074,United Kingdom
INV000164,SC1698,Wall Clock,15,2023-01-12 20:51:02.052410,21.72,C00047,United Kingdom
INV000165,SC5737,Ceramic Bowl,11,2023-01-12 22:35:53.230646,24.72,C00076,United Kingdom
INV000166,SC1854,Glass Vase,47,2023-01-13 00:20:44.408881,103.06,C00096,Sweden
INV000167,SC9164,Glass Vase,26,2023-01-13 02:05:35.587117,4.43,C00031,Netherlands
INV000168,SC6855,Cotton Bag,24,2023-01-13 03:50:26.765353,18.96,C00022,Belgium
INV000169,SC8392,Metal Lantern,13,2023-01-13 05:35:17.943588,126.89,C00017,Japan
INV000170,SC7528,Glass Vase,32,2023-01-13 07:20:09.121824,126.97,C00212,France
INV000171,SC6249,Wooden Frame,37,2023-01-13 09:05:00.300060,50.39,C00148,United Kingdom
INV000172,SC6172,Bamboo Tray,4,2023-01-13 10:49:51.478295,14.56,C00235,United Kingdom
INV000173,SC2707,Vintage Mug,13,2023-01-13 12:34:42.656531,106.19,C00392,United Kingdom
INV000174,SC6791,Vintage Mug,9,2023-01-13 14:19:33.834766,54.98,C00354,Netherlands
INV000175,SC6535,Bamboo Tray,49,2023-01-13 16:04:25.013002,8.25,C00305,United Kingdom
INV000176,SC5931,Scented Candle,34,2023-01-13 17:49:16.191238,24.94,C00087,United Kingdom
INV000177,SC4510,Wooden Frame,37,2023-01-13 19:34:07.369473,21.88,C00038,Australia
INV000178,SC1202,Ceramic Bowl,48,2023-01-13 21:18:58.547709,88.98,C00053,Australia
INV000179,SC5218,Glass Vase,7,2023-01-13 23:03:49.725945,134.87,C00028,Netherlands
INV000180,SC9958,Scented Candle,1,2023-01-14 00:48:40.904180,119.27,C00077,Germany
INV000181,SC5389,Wooden Frame,12,2023-01-14 02:33:32.082416,82.66,C00200,USA
INV000182,SC3327,Cotton Bag,21,2023-01-14 04:18:23.260652,64.19,,France
INV000183,SC9004,Vintage Mug,11,2023-01-14 06:03:14.438887,93.37,C00173,United Kingdom
INV000184,SC3931,Scented Candle,44,2023-01-14 07:48:05.617123,67.41,C00274,USA
INV000185,SC8777,Throw Pillow,44,2023-01-14 09:32:56.795359,38.05,C00050,Sweden
INV000186,SC1197,Glass Vase,44,2023-01-14 11:17:47.973594,102.36,C00345,United Kingdom
INV000187,SC8125,Glass Vase,14,2023-01-14 13:02:39.151830,131.18,C00177,Germany
INV000188,SC2930,Ceramic Bowl,34,2023-01-14 14:47:30.330066,56.87,C00301,France
INV000189,SC7287,Metal Lantern,34,2023-01-14 16:32:21.508301,126.47,C00227,United Kingdom
INV000190,SC9800,Throw Pillow,25,2023-01-14 18:17:12.686537,65.52,C00127,USA
INV000191,SC5282,Glass Vase,4,2023-01-14 20:02:03.864772,61.1,C00349,United Kingdom
INV000192,SC3511,Wall Clock,26,2023-01-14 21:46:55.043008,5.71,C00021,Spain
INV000193,SC1659,Throw Pillow,16,2023-01-14 23:31:46.221244,104.75,C00199,Netherlands
INV000194,SC3811,Glass Vase,10,2023-01-15 01:16:37.399479,121.41,C00189,Australia
INV000195,SC8098,Bamboo Tray,45,2023-01-15 03:01:28.577715,100.04,C00332,United Kingdom
INV000196,SC7546,Throw Pillow,2,2023-01-15 04:46:19.755951,23.98,C00152,United Kingdom
INV000197,SC2986,Wooden Frame,35,2023-01-15 06:31:10.934186,16.84,C00160,United Kingdom
INV000198,SC9338,Throw Pillow,19,2023-01-15 08:16:02.112422,86.57,C00347,United Kingdom
INV000199,SC3911,Ceramic Bowl,6,2023-01-15 10:00:53.290658,61.13,,United Kingdom
INV000200,SC2734,Cotton Bag,19,2023-01-15 11:45:44.468893,65.22,C00352,USA
INV000201,SC2843,Cotton Bag,8,2023-01-15 13:30:35.647129,145.22,C00075,Germany
INV000202,SC9680,Cotton Bag,14,2023-01-15 15:15:26.825365,109.0,C00366,Spain
INV000203,SC3976,Wooden Frame,10,2023-01-15 17:00:18.003600,62.65,C00082,Germany
INV000204,SC2959,Scented Candle,3,2023-01-15 18:45:09.181836,4.34,,Spain
INV000205,SC6759,Cotton Bag,38,2023-01-15 20:30:00.360072,6.56,C00359,Japan
INV000206,SC7694,Vintage Mug,29,2023-01-15 22:14:51.538307,103.19,C00133,United Kingdom
INV000207,SC3385,Wooden Frame,15,2023-01-15 23:59:42.716543,125.9,C00400,USA
INV000208,SC5736,Scented Candle,23,2023-01-16 01:44:33.894778,106.59,C00139,Australia
INV000209,SC2802,Vintage Mug,23,2023-01-16 03:29:25.073014,61.77,C00246,USA
INV000210,SC9155,Vintage Mug,18,2023-01-16 05:14:16.251250,6.12,C00291,Netherlands
INV000211,SC9120,Vintage Mug,46,2023-01-16 06:59:07.429485,145.16,C00112,Germany
INV000212,SC7616,Wall Clock,19,2023-01-16 08:43:58.607721,147.97,C00203,United Kingdom
INV000213,SC6534,Ceramic Bowl,28,2023-01-16 10:28:49.785957,83.08,C00170,United Kingdom
INV000214,SC5061,Ceramic Bowl,26,2023-01-16 12:13:40.964192,11.99,C00087,France
INV000215,SC1262,Wooden Frame,10,2023-01-16 13:58:32.142428,81.83,C00119,Japan
INV000216,SC7287,Vintage Mug,47,2023-01-16 15:43:23.320664,134.01,C00098,Spain
INV000217,SC9815,Bamboo Tray,4,2023-01-16 17:28:14.498899,102.48,C00240,United Kingdom
INV000218,SC3049,Throw Pillow,2,2023-01-16 19:13:05.677135,108.42,C00337,USA
INV000219,SC6423,Scented Candle,3,2023-01-16 20:57:56.855371,14.12,C00138,Spain
INV000220,SC5548,Ceramic Bowl,7,2023-01-16 22:42:48.033606,17.32,C00082,United Kingdom
INV000221,SC4108,Cotton Bag,16,2023-01-17 00:27:39.211842,20.41,C00236,United Kingdom
INV000222,SC8158,Wooden Frame,31,2023-01-17 02:12:30.390078,135.8,C00136,United Kingdom
INV000223,SC8400,Scented Candle,10,2023-01-17 03:57:21.568313,79.59,C00282,Belgium
INV000224,SC4170,Wooden Frame,19,2023-01-17 05:42:12.746549,119.05,C00003,USA
INV000225,SC3255,Bamboo Tray,28,2023-01-17 07:27:03.924784,18.62,C00059,United Kingdom
INV000226,SC2154,Wall Clock,17,2023-01-17 09:11:55.103020,139.25,C00116,United Kingdom
INV000227,SC5499,Wall Clock,28,2023-01-17 10:56:46.281256,123.44,C00131,USA
INV000228,SC7295,Vintage Mug,19,2023-01-17 12:41:37.459491,34.88,C00386,Sweden
INV000229,SC7197,Wall Clock,37,2023-01-17 14:26:28.637727,131.32,,Spain
INV000230,SC2648,Wooden Frame,23,2023-01-17 16:11:19.815963,40.62,C00292,Australia
INV000231,SC6539,Cotton Bag,20,2023-01-17 17:56:10.994198,31.99,C00342,United Kingdom
INV000232,SC5199,Vintage Mug,13,2023-01-17 19:41:02.172434,40.74,C00098,France
INV000233,SC9445,Glass Vase,13,2023-01-17 21:25:53.350670,136.63,C00216,United Kingdom
INV000234,SC3557,Scented Candle,43,2023-01-17 23:10:44.528905,137.47,C00124,USA
INV000235,SC6592,Bamboo Tray,11,2023-01-18 00:55:35.707141,50.36,C00073,Germany
INV000236,SC1098,Vintage Mug,48,2023-01-18 02:40:26.885377,106.26,,USA
INV000237,SC3200,Wooden Frame,15,2023-01-18 04:25:18.063612,101.85,C00378,Germany
INV000238,SC3961,Scented Candle,17,2023-01-18 06:10:09.241848,121.27,C00130,USA
INV000239,SC5973,Cotton Bag,28,2023-01-18 07:55:00.420084,45.53,C00027,United Kingdom
INV000240,SC5433,Metal Lantern,19,2023-01-18 09:39:51.598319,77.26,C00165,Germany
INV000241,SC3869,Bamboo Tray,4,2023-01-18 11:24:42.776555,100.65,C00068,Australia
INV000242,SC1956,Wooden Frame,22,2023-01-18 13:09:33.954790,5.4,C00014,United Kingdom
INV000243,SC9352,Bamboo Tray,22,2023-01-18 14:54:25.133026,57.45,C00098,Sweden
INV000244,SC6699,Ceramic Bowl,37,2023-01-18 16:39:16.311262,104.84,C00279,Australia
INV000245,SC7944,Metal Lantern,39,2023-01-18 18:24:07.489497,39.01,C00371,France
INV000246,SC5493,Scented Candle,34,2023-01-18 20:08:58.667733,143.72,C00247,USA
INV000247,SC5911,Wall Clock,33,2023-01-18 21:53:49.845969,5.98,C00112,USA
INV000248,SC4987,Wooden Frame,44,2023-01-18 23:38:41.024204,143.78,C00207,France
INV000249,SC7015,Bamboo Tray,42,2023-01-19 01:23:32.202440,33.69,C00352,Sweden
INV000250,SC2218,Scented Candle,40,2023-01-19 03:08:23.380676,8.75,C00334,United Kingdom
INV000251,SC5496,Wall Clock,33,2023-01-19 04:53:14.558911,44.93,C00233,United Kingdom
INV000252,SC5735,Cotton Bag,12,2023-01-19 06:38:05.737147,118.26,C00061,Australia
INV000253,SC5555,Cotton Bag,2,2023-01-19 08:22:56.915383,113.24,C00085,Germany
INV000254,SC9050,Bamboo Tray,28,2023-01-19 10:07:48.093618,32.51,C00183,Germany
INV000255,SC4446,Vintage Mug,10,2023-01-19 11:52:39.271854,30.72,C00239,United Kingdom
INV000256,SC2045,Ceramic Bowl,22,2023-01-19 13:37:30.450090,96.92,C00250,Germany
INV000257,SC7893,Vintage Mug,17,2023-01-19 15:22:21.628325,69.53,C00071,USA
INV000258,SC2693,Ceramic Bowl,26,2023-01-19 17:07:12.806561,119.16,C00228,Australia
INV000259,SC4436,Wooden Frame,3,2023-01-19 18:52:03.984796,5.08,C00085,Japan
INV000260,SC9754,Glass Vase,7,2023-01-19 20:36:55.163032,92.15,C00306,Spain
INV000261,SC6895,Bamboo Tray,44,2023-01-19 22:21:46.341268,110.0,C00396,United Kingdom
INV000262,SC4354,Throw Pillow,8,2023-01-20 00:06:37.519503,149.02,C00271,United Kingdom
INV000263,SC1225,Bamboo Tray,20,2023-01-20 01:51:28.697739,102.3,C00290,United Kingdom
INV000264,SC5893,Metal Lantern,12,2023-01-20 03:36:19.875975,35.93,C00236,USA
INV000265,SC8022,Wall Clock,35,2023-01-20 05:21:11.054210,17.57,,United Kingdom
INV000266,SC6600,Metal Lantern,17,2023-01-20 07:06:02.232446,96.68,C00039,United Kingdom
INV000267,SC8996,Cotton Bag,28,2023-01-20 08:50:53.410682,79.19,C00206,Belgium
INV000268,SC8683,Ceramic Bowl,41,2023-01-20 10:35:44.588917,135.02,C00183,Australia
INV000269,SC5642,Wall Clock,10,2023-01-20 12:20:35.767153,109.4,C00187,United Kingdom
INV000270,SC8679,Cotton Bag,22,2023-01-20 14:05:26.945389,77.2,C00133,United Kingdom
INV000271,SC9208,Wall Clock,38,2023-01-20 15:50:18.123624,61.43,C00030,USA
INV000272,SC8339,Vintage Mug,33,2023-01-20 17:35:09.301860,61.55,C00388,Belgium
INV000273,SC3205,Cotton Bag,22,2023-01-20 19:20:00.480096,35.11,C00255,United Kingdom
INV000274,SC2069,Vintage Mug,44,2023-01-20 21:04:51.658331,4.07,C00143,Germany
INV000275,SC4444,Vintage Mug,37,2023-01-20 22:49:42.836567,86.87,C00103,USA
INV000276,SC2060,Wall Clock,13,2023-01-21 00:34:34.014802,33.04,C00074,Spain
INV000277,SC3327,Scented Candle,27,2023-01-21 02:19:25.193038,32.44,C00055,USA
INV000278,SC4420,Metal Lantern,15,2023-01-21 04:04:16.371274,20.12,C00236,France
INV000279,SC1301,Cotton Bag,22,2023-01-21 05:49:07.549509,29.65,C00060,Belgium
INV000280,SC1606,Throw Pillow,30,2023-01-21 07:33:58.727745,6.22,C00024,United Kingdom
INV000281,SC4170,Scented Candle,43,2023-01-21 09:18:49.905981,101.62,C00022,United Kingdom
INV000282,SC1699,Metal Lantern,40,2023-01-21 11:03:41.084216,61.11,C00032,Netherlands
INV000283,SC6088,Cotton Bag,37,2023-01-21 12:48:32.262452,84.89,C00351,France
INV000284,SC1190,Ceramic Bowl,34,2023-01-21 14:33:23.440688,96.09,C00339,USA
