InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month,MonthName,MonthOrder
INV000059,SC1161,Cotton Bag,41,2023-01-05 05:21:28.337667,79.72,C00012,Netherlands,3268.52,1,Jan,1
INV000060,SC5297,Wall Clock,30,2023-01-05 07:06:19.515903,55.17,C00252,USA,1655.1000000000001,1,Jan,1
INV000061,SC1995,Metal Lantern,4,2023-01-05 08:51:10.694138,94.47,C00216,France,377.88,1,Jan,1
INV000062,SC8629,Wall Clock,2,2023-01-05 10:36:01.872374,6.04,C00126,United Kingdom,12.08,1,Jan,1
INV000063,SC2016,Wooden Frame,46,2023-01-05 12:20:53.050610,145.53,C00098,Germany,6694.38,1,Jan,1
INV000064,SC8869,Ceramic Bowl,3,2023-01-05 14:05:44.228845,138.82,C00392,Spain,416.46,1,Jan,1
INV000065,SC7439,Metal Lantern,21,2023-01-05 15:50:35.407081,140.39,C00304,Germany,2948.1899999999996,1,Jan,1
INV000066,SC8892,Bamboo Tray,6,2023-01-05 17:35:26.585317,55.7,C00392,Netherlands,334.20000000000005,1,Jan,1
INV000067,SC7863,Vintage Mug,43,2023-01-05 19:20:17.763552,80.49,C00028,France,3461.0699999999997,1,Jan,1
INV000068,SC8916,Scented Candle,18,2023-01-05 21:05:08.941788,143.19,C00336,United Kingdom,2577.42,1,Jan,1
INV000069,SC9529,Bamboo Tray,44,2023-01-05 22:50:00.120024,135.5,C00266,USA,5962.0,1,Jan,1
INV000070,SC1878,Wooden Frame,5,2023-01-06 00:34:51.298259,118.85,C00052,United Kingdom,594.25,1,Jan,1
INV000071,SC5887,Ceramic Bowl,9,2023-01-06 02:19:42.476495,61.99,C00143,France,557.91,1,Jan,1
INV000072,SC5859,Throw Pillow,20,2023-01-06 04:04:33.654730,85.3,C00132,United Kingdom,1706.0,1,Jan,1
INV000073,SC7331,Cotton Bag,28,2023-01-06 05:49:24.832966,119.25,C00346,United Kingdom,3339.0,1,Jan,1
INV000074,SC9571,Wall Clock,26,2023-01-06 07:34:16.011202,42.04,C00207,France,1093.04,1,Jan,1
INV000075,SC9684,Wooden Frame,18,2023-01-06 09:19:07.189437,94.53,C00062,France,1701.54,1,Jan,1
INV000076,SC8208,Scented Candle,19,2023-01-06 11:03:58.367673,124.45,C00363,Netherlands,2364.55,1,Jan,1
INV000077,SC6276,Cotton Bag,3,2023-01-06 12:48:49.545909,106.56,C00132,Spain,319.68,1,Jan,1
INV000078,SC3062,Throw Pillow,9,2023-01-06 14:33:40.724144,72.7,C00041,Spain,654.3000000000001,1,Jan,1
INV000079,SC1064,Scented Candle,36,2023-01-06 16:18:31.902380,88.31,C00201,Germany,3179.16,1,Jan,1
INV000080,SC9006,Vintage Mug,31,2023-01-06 18:03:23.080616,148.32,C00099,Australia,4597.92,1,Jan,1
INV000081,SC3568,Wall Clock,49,2023-01-06 19:48:14.258851,90.9,C00311,Australia,4454.1,1,Jan,1
INV000082,SC6463,Bamboo Tray,17,2023-01-06 21:33:05.437087,118.16,C00284,Germany,2008.72,1,Jan,1
INV000083,SC3027,Metal Lantern,23,2023-01-06 23:17:56.615323,109.4,C00357,Australia,2516.2000000000003,1,Jan,1
INV000084,SC3695,Wooden Frame,34,2023-01-07 01:02:47.793558,105.67,C00047,Sweden,3592.78,1,Jan,1
INV000085,SC6258,Metal Lantern,41,2023-01-07 02:47:38.971794,107.88,C00137,United Kingdom,4423.08,1,Jan,1
INV000086,SC6618,Cotton Bag,41,2023-01-07 04:32:30.150030,68.98,C00130,Belgium,2828.1800000000003,1,Jan,1
INV000087,SC7736,Metal Lantern,5,2023-01-07 06:17:21.328265,71.91,C00195,United Kingdom,359.54999999999995,1,Jan,1
INV000088,SC1391,Bamboo Tray,15,2023-01-07 08:02:12.506501,70.98,C00117,United Kingdom,1064.7,1,Jan,1
INV000089,SC6892,Glass Vase,47,2023-01-07 09:47:03.684736,6.44,C00364,United Kingdom,302.68,1,Jan,1
INV000090,SC4561,Cotton Bag,3,2023-01-07 11:31:54.862972,37.3,C00069,Australia,111.89999999999999,1,Jan,1
INV000091,SC7184,Wall Clock,19,2023-01-07 13:16:46.041208,24.45,C00028,United Kingdom,464.55,1,Jan,1
INV000092,SC4099,Scented Candle,28,2023-01-07 15:01:37.219443,133.14,C00335,Belgium,3727.9199999999996,1,Jan,1
INV000094,SC9392,Metal Lantern,38,2023-01-07 18:31:19.575915,22.06,C00046,Netherlands,838.28,1,Jan,1
INV000095,SC4104,Ceramic Bowl,4,2023-01-07 20:16:10.754150,19.29,C00397,Germany,77.16,1,Jan,1
INV000096,SC8215,Cotton Bag,24,2023-01-07 22:01:01.932386,105.45,C00016,Sweden,2530.8,1,Jan,1
INV000097,SC3454,Scented Candle,31,2023-01-07 23:45:53.110622,2.4,C00209,USA,74.39999999999999,1,Jan,1
INV000098,SC9996,Throw Pillow,45,2023-01-08 01:30:44.288857,71.49,C00158,France,3217.0499999999997,1,Jan,1
INV000099,SC3731,Vintage Mug,45,2023-01-08 03:15:35.467093,19.15,C00337,Netherlands,861.7499999999999,1,Jan,1
INV000100,SC9154,Wall Clock,11,2023-01-08 05:00:26.645329,127.68,C00227,France,1404.48,1,Jan,1
INV000101,SC6056,Wall Clock,37,2023-01-08 06:45:17.823564,143.83,C00241,Australia,5321.71,1,Jan,1
INV000102,SC9110,Cotton Bag,1,2023-01-08 08:30:09.001800,143.88,C00058,United Kingdom,143.88,1,Jan,1
INV000103,SC4840,Ceramic Bowl,9,2023-01-08 10:15:00.180036,67.13,C00304,Germany,604.17,1,Jan,1
INV000104,SC2028,Metal Lantern,17,2023-01-08 11:59:51.358271,97.21,C00305,United Kingdom,1652.57,1,Jan,1
INV000105,SC8385,Metal Lantern,1,2023-01-08 13:44:42.536507,90.56,C00345,Germany,90.56,1,Jan,1
INV000106,SC1502,Cotton Bag,3,2023-01-08 15:29:33.714742,53.48,C00130,Netherlands,160.44,1,Jan,1
INV000107,SC7910,Wall Clock,47,2023-01-08 17:14:24.892978,67.44,C00217,Sweden,3169.68,1,Jan,1
INV000108,SC7938,Scented Candle,26,2023-01-08 18:59:16.071214,11.05,C00014,Japan,287.3,1,Jan,1
INV000109,SC5488,Vintage Mug,31,2023-01-08 20:44:07.249449,119.66,C00359,France,3709.46,1,Jan,1
INV000111,SC6134,Scented Candle,23,2023-01-09 00:13:49.605921,69.89,C00243,United Kingdom,1607.47,1,Jan,1
INV000112,SC6977,Scented Candle,30,2023-01-09 01:58:40.784156,72.87,C00145,Netherlands,2186.1000000000004,1,Jan,1
INV000113,SC8721,Throw Pillow,10,2023-01-09 03:43:31.962392,84.77,C00379,United Kingdom,847.6999999999999,1,Jan,1
INV000115,SC2484,Glass Vase,44,2023-01-09 07:13:14.318863,104.24,C00326,Netherlands,4586.5599999999995,1,Jan,1
INV000116,SC8858,Vintage Mug,25,2023-01-09 08:58:05.497099,99.96,C00103,United Kingdom,2499.0,1,Jan,1
INV000117,SC1863,Wooden Frame,22,2023-01-09 10:42:56.675335,79.72,C00217,United Kingdom,1753.84,1,Jan,1
INV000118,SC3790,Ceramic Bowl,15,2023-01-09 12:27:47.853570,15.75,C00358,USA,236.25,1,Jan,1
INV000119,SC8408,Glass Vase,41,2023-01-09 14:12:39.031806,61.2,C00064,United Kingdom,2509.2000000000003,1,Jan,1
INV000120,SC9755,Throw Pillow,10,2023-01-09 15:57:30.210042,143.66,C00158,United Kingdom,1436.6,1,Jan,1
INV000121,SC6116,Vintage Mug,20,2023-01-09 17:42:21.388277,149.34,C00162,United Kingdom,2986.8,1,Jan,1
INV000122,SC7019,Metal Lantern,41,2023-01-09 19:27:12.566513,109.98,C00018,United Kingdom,4509.18,1,Jan,1
INV000124,SC8574,Metal Lantern,23,2023-01-09 22:56:54.922984,16.63,C00319,Spain,382.48999999999995,1,Jan,1
INV000125,SC7374,Ceramic Bowl,1,2023-01-10 00:41:46.101220,63.09,C00049,United Kingdom,63.09,1,Jan,1
INV000126,SC7892,Metal Lantern,2,2023-01-10 02:26:37.279455,128.7,C00056,USA,257.4,1,Jan,1
INV000127,SC2678,Ceramic Bowl,19,2023-01-10 04:11:28.457691,108.7,C00347,United Kingdom,2065.3,1,Jan,1
INV000128,SC4242,Vintage Mug,14,2023-01-10 05:56:19.635927,132.76,C00058,France,1858.6399999999999,1,Jan,1
INV000129,SC5636,Wall Clock,8,2023-01-10 07:41:10.814162,92.94,C00155,Netherlands,743.52,1,Jan,1
INV000130,SC2059,Ceramic Bowl,38,2023-01-10 09:26:01.992398,20.85,C00055,Netherlands,792.3000000000001,1,Jan,1
INV000131,SC7668,Scented Candle,12,2023-01-10 11:10:53.170634,18.55,C00341,Australia,222.60000000000002,1,Jan,1
INV000132,SC4157,Wooden Frame,26,2023-01-10 12:55:44.348869,8.63,C00019,Sweden,224.38000000000002,1,Jan,1
INV000133,SC6915,Wooden Frame,27,2023-01-10 14:40:35.527105,85.71,C00151,United Kingdom,2314.1699999999996,1,Jan,1
INV000134,SC3693,Cotton Bag,29,2023-01-10 16:25:26.705341,37.57,C00359,France,1089.53,1,Jan,1
INV000135,SC4627,Wooden Frame,15,2023-01-10 18:10:17.883576,110.56,C00368,Belgium,1658.4,1,Jan,1
INV000136,SC6450,Cotton Bag,46,2023-01-10 19:55:09.061812,103.41,C00108,United Kingdom,4756.86,1,Jan,1
INV000137,SC2663,Wooden Frame,1,2023-01-10 21:40:00.240048,48.74,C00047,United Kingdom,48.74,1,Jan,1
INV000138,SC6592,Ceramic Bowl,43,2023-01-10 23:24:51.418283,27.76,C00207,United Kingdom,1193.68,1,Jan,1
INV000139,SC8392,Scented Candle,28,2023-01-11 01:09:42.596519,16.71,C00363,Australia,467.88,1,Jan,1
INV000140,SC2306,Wall Clock,3,2023-01-11 02:54:33.774754,110.99,C00340,United Kingdom,332.96999999999997,1,Jan,1
INV000141,SC7776,Metal Lantern,18,2023-01-11 04:39:24.952990,68.39,C00128,United Kingdom,1231.02,1,Jan,1
INV000142,SC6864,Throw Pillow,34,2023-01-11 06:24:16.131226,49.54,C00185,Germany,1684.36,1,Jan,1
INV000143,SC8526,Wooden Frame,32,2023-01-11 08:09:07.309461,128.71,C00058,Australia,4118.72,1,Jan,1
INV000144,SC9901,Wall Clock,29,2023-01-11 09:53:58.487697,89.65,C00143,United Kingdom,2599.8500000000004,1,Jan,1
INV000145,SC6575,Wall Clock,25,2023-01-11 11:38:49.665933,78.42,C00400,United Kingdom,1960.5,1,Jan,1
INV000146,SC6530,Ceramic Bowl,26,2023-01-11 13:23:40.844168,111.89,C00097,Australia,2909.14,1,Jan,1
INV000147,SC5413,Vintage Mug,39,2023-01-11 15:08:32.022404,122.61,C00047,Sweden,4781.79,1,Jan,1
INV000148,SC4748,Vintage Mug,8,2023-01-11 16:53:23.200640,103.38,C00191,Netherlands,827.04,1,Jan,1
INV000149,SC1663,Wooden Frame,19,2023-01-11 18:38:14.378875,66.84,C00140,Spain,1269.96,1,Jan,1
INV000150,SC2998,Throw Pillow,47,2023-01-11 20:23:05.557111,57.83,C00103,Germany,2718.0099999999998,1,Jan,1
INV000151,SC8994,Wooden Frame,42,2023-01-11 22:07:56.735347,116.09,C00231,United Kingdom,4875.78,1,Jan,1
INV000152,SC2495,Wooden Frame,22,2023-01-11 23:52:47.913582,78.41,C00340,Germany,1725.02,1,Jan,1
INV000153,SC4304,Cotton Bag,29,2023-01-12 01:37:39.091818,106.1,C00049,USA,3076.8999999999996,1,Jan,1
INV000154,SC4763,Scented Candle,33,2023-01-12 03:22:30.270054,133.72,C00387,Germany,4412.76,1,Jan,1
INV000155,SC6232,Scented Candle,38,2023-01-12 05:07:21.448289,137.51,C00112,USA,5225.379999999999,1,Jan,1
INV000156,SC2853,Throw Pillow,45,2023-01-12 06:52:12.626525,42.74,C00316,Japan,1923.3000000000002,1,Jan,1
INV000157,SC7585,Cotton Bag,46,2023-01-12 08:37:03.804760,29.4,C00322,United Kingdom,1352.3999999999999,1,Jan,1
INV000158,SC2291,Wall Clock,35,2023-01-12 10:21:54.982996,40.3,C00087,United Kingdom,1410.5,1,Jan,1
INV000159,SC4581,Cotton Bag,43,2023-01-12 12:06:46.161232,113.08,C00382,United Kingdom,4862.44,1,Jan,1
INV000160,SC8554,Wooden Frame,3,2023-01-12 13:51:37.339467,56.45,C00282,Germany,169.35000000000002,1,Jan,1
INV000161,SC8280,Vintage Mug,19,2023-01-12 15:36:28.517703,27.25,C00327,United Kingdom,517.75,1,Jan,1
INV000162,SC2636,Glass Vase,10,2023-01-12 17:21:19.695939,16.11,C00252,Belgium,161.1,1,Jan,1
INV000163,SC4696,Throw Pillow,27,2023-01-12 19:06:10.874174,50.11,C00074,United Kingdom,1352.97,1,Jan,1
INV000164,SC1698,Wall Clock,15,2023-01-12 20:51:02.052410,21.72,C00047,United Kingdom,325.79999999999995,1,Jan,1
INV000165,SC5737,Ceramic Bowl,11,2023-01-12 22:35:53.230646,24.72,C00076,United Kingdom,271.91999999999996,1,Jan,1
INV000166,SC1854,Glass Vase,47,2023-01-13 00:20:44.408881,103.06,C00096,Sweden,4843.82,1,Jan,1
INV000167,SC9164,Glass Vase,26,2023-01-13 02:05:35.587117,4.43,C00031,Netherlands,115.17999999999999,1,Jan,1
INV000168,SC6855,Cotton Bag,24,2023-01-13 03:50:26.765353,18.96,C00022,Belgium,455.04,1,Jan,1
INV000169,SC8392,Metal Lantern,13,2023-01-13 05:35:17.943588,126.89,C00017,Japan,1649.57,1,Jan,1
INV000170,SC7528,Glass Vase,32,2023-01-13 07:20:09.121824,126.97,C00212,France,4063.04,1,Jan,1
INV000171,SC6249,Wooden Frame,37,2023-01-13 09:05:00.300060,50.39,C00148,United Kingdom,1864.43,1,Jan,1
INV000172,SC6172,Bamboo Tray,4,2023-01-13 10:49:51.478295,14.56,C00235,United Kingdom,58.24,1,Jan,1
INV000173,SC2707,Vintage Mug,13,2023-01-13 12:34:42.656531,106.19,C00392,United Kingdom,1380.47,1,Jan,1
INV000174,SC6791,Vintage Mug,9,2023-01-13 14:19:33.834766,54.98,C00354,Netherlands,494.82,1,Jan,1
INV000175,SC6535,Bamboo Tray,49,2023-01-13 16:04:25.013002,8.25,C00305,United Kingdom,404.25,1,Jan,1
INV000176,SC5931,Scented Candle,34,2023-01-13 17:49:16.191238,24.94,C00087,United Kingdom,847.96,1,Jan,1
INV000177,SC4510,Wooden Frame,37,2023-01-13 19:34:07.369473,21.88,C00038,Australia,809.56,1,Jan,1
INV000178,SC1202,Ceramic Bowl,48,2023-01-13 21:18:58.547709,88.98,C00053,Australia,4271.04,1,Jan,1
INV000179,SC5218,Glass Vase,7,2023-01-13 23:03:49.725945,134.87,C00028,Netherlands,944.09,1,Jan,1
INV000180,SC9958,Scented Candle,1,2023-01-14 00:48:40.904180,119.27,C00077,Germany,119.27,1,Jan,1
INV000181,SC5389,Wooden Frame,12,2023-01-14 02:33:32.082416,82.66,C00200,USA,991.92,1,Jan,1
INV000183,SC9004,Vintage Mug,11,2023-01-14 06:03:14.438887,93.37,C00173,United Kingdom,1027.0700000000002,1,Jan,1
INV000184,SC3931,Scented Candle,44,2023-01-14 07:48:05.617123,67.41,C00274,USA,2966.04,1,Jan,1
INV000185,SC8777,Throw Pillow,44,2023-01-14 09:32:56.795359,38.05,C00050,Sweden,1674.1999999999998,1,Jan,1
INV000186,SC1197,Glass Vase,44,2023-01-14 11:17:47.973594,102.36,C00345,United Kingdom,4503.84,1,Jan,1
INV000187,SC8125,Glass Vase,14,2023-01-14 13:02:39.151830,131.18,C00177,Germany,1836.52,1,Jan,1
INV000188,SC2930,Ceramic Bowl,34,2023-01-14 14:47:30.330066,56.87,C00301,France,1933.58,1,Jan,1
INV000189,SC7287,Metal Lantern,34,2023-01-14 16:32:21.508301,126.47,C00227,United Kingdom,4299.98,1,Jan,1
INV000190,SC9800,Throw Pillow,25,2023-01-14 18:17:12.686537,65.52,C00127,USA,1638.0,1,Jan,1
INV000191,SC5282,Glass Vase,4,2023-01-14 20:02:03.864772,61.1,C00349,United Kingdom,244.4,1,Jan,1
INV000192,SC3511,Wall Clock,26,2023-01-14 21:46:55.043008,5.71,C00021,Spain,148.46,1,Jan,1
INV000193,SC1659,Throw Pillow,16,2023-01-14 23:31:46.221244,104.75,C00199,Netherlands,1676.0,1,Jan,1
INV000194,SC3811,Glass Vase,10,2023-01-15 01:16:37.399479,121.41,C00189,Australia,1214.1,1,Jan,1
INV000195,SC8098,Bamboo Tray,45,2023-01-15 03:01:28.577715,100.04,C00332,United Kingdom,4501.8,1,Jan,1
INV000196,SC7546,Throw Pillow,2,2023-01-15 04:46:19.755951,23.98,C00152,United Kingdom,47.96,1,Jan,1
INV000197,SC2986,Wooden Frame,35,2023-01-15 06:31:10.934186,16.84,C00160,United Kingdom,589.4,1,Jan,1
INV000198,SC9338,Throw Pillow,19,2023-01-15 08:16:02.112422,86.57,C00347,United Kingdom,1644.83,1,Jan,1
INV000200,SC2734,Cotton Bag,19,2023-01-15 11:45:44.468893,65.22,C00352,USA,1239.18,1,Jan,1
INV000201,SC2843,Cotton Bag,8,2023-01-15 13:30:35.647129,145.22,C00075,Germany,1161.76,1,Jan,1
INV000202,SC9680,Cotton Bag,14,2023-01-15 15:15:26.825365,109.0,C00366,Spain,1526.0,1,Jan,1
INV000203,SC3976,Wooden Frame,10,2023-01-15 17:00:18.003600,62.65,C00082,Germany,626.5,1,Jan,1
INV000205,SC6759,Cotton Bag,38,2023-01-15 20:30:00.360072,6.56,C00359,Japan,249.27999999999997,1,Jan,1
INV000206,SC7694,Vintage Mug,29,2023-01-15 22:14:51.538307,103.19,C00133,United Kingdom,2992.5099999999998,1,Jan,1
INV000207,SC3385,Wooden Frame,15,2023-01-15 23:59:42.716543,125.9,C00400,USA,1888.5,1,Jan,1
INV000208,SC5736,Scented Candle,23,2023-01-16 01:44:33.894778,106.59,C00139,Australia,2451.57,1,Jan,1
INV000209,SC2802,Vintage Mug,23,2023-01-16 03:29:25.073014,61.77,C00246,USA,1420.71,1,Jan,1
INV000210,SC9155,Vintage Mug,18,2023-01-16 05:14:16.251250,6.12,C00291,Netherlands,110.16,1,Jan,1
INV000211,SC9120,Vintage Mug,46,2023-01-16 06:59:07.429485,145.16,C00112,Germany,6677.36,1,Jan,1
INV000212,SC7616,Wall Clock,19,2023-01-16 08:43:58.607721,147.97,C00203,United Kingdom,2811.43,1,Jan,1
INV000213,SC6534,Ceramic Bowl,28,2023-01-16 10:28:49.785957,83.08,C00170,United Kingdom,2326.24,1,Jan,1
INV000214,SC5061,Ceramic Bowl,26,2023-01-16 12:13:40.964192,11.99,C00087,France,311.74,1,Jan,1
INV000215,SC1262,Wooden Frame,10,2023-01-16 13:58:32.142428,81.83,C00119,Japan,818.3,1,Jan,1
INV000216,SC7287,Vintage Mug,47,2023-01-16 15:43:23.320664,134.01,C00098,Spain,6298.469999999999,1,Jan,1
INV000217,SC9815,Bamboo Tray,4,2023-01-16 17:28:14.498899,102.48,C00240,United Kingdom,409.92,1,Jan,1
INV000218,SC3049,Throw Pillow,2,2023-01-16 19:13:05.677135,108.42,C00337,USA,216.84,1,Jan,1
INV000219,SC6423,Scented Candle,3,2023-01-16 20:57:56.855371,14.12,C00138,Spain,42.36,1,Jan,1
INV000220,SC5548,Ceramic Bowl,7,2023-01-16 22:42:48.033606,17.32,C00082,United Kingdom,121.24000000000001,1,Jan,1
INV000221,SC4108,Cotton Bag,16,2023-01-17 00:27:39.211842,20.41,C00236,United Kingdom,326.56,1,Jan,1
INV000222,SC8158,Wooden Frame,31,2023-01-17 02:12:30.390078,135.8,C00136,United Kingdom,4209.8,1,Jan,1
INV000223,SC8400,Scented Candle,10,2023-01-17 03:57:21.568313,79.59,C00282,Belgium,795.9000000000001,1,Jan,1
INV000224,SC4170,Wooden Frame,19,2023-01-17 05:42:12.746549,119.05,C00003,USA,2261.95,1,Jan,1
INV000225,SC3255,Bamboo Tray,28,2023-01-17 07:27:03.924784,18.62,C00059,United Kingdom,521.36,1,Jan,1
INV000226,SC2154,Wall Clock,17,2023-01-17 09:11:55.103020,139.25,C00116,United Kingdom,2367.25,1,Jan,1
INV000227,SC5499,Wall Clock,28,2023-01-17 10:56:46.281256,123.44,C00131,USA,3456.3199999999997,1,Jan,1
INV000228,SC7295,Vintage Mug,19,2023-01-17 12:41:37.459491,34.88,C00386,Sweden,662.72,1,Jan,1
INV000230,SC2648,Wooden Frame,23,2023-01-17 16:11:19.815963,40.62,C00292,Australia,934.26,1,Jan,1
